"dt_venda";"nm_localidade_estado";"tp_produtor_canal_aquisicao";"tp_tamanho_produtor";"nm_evento_classificacao_negocio";"vr_venda";"qt_ingresso";"qt_evento";"qt_produtor";"qt_ingresso_por_evento";"qt_evento_por_produtor";"vr_medio_ingresso"
2033-02-01 00:00:00.000;ALAGOAS;MIDIA SOCIAL;PEQUENO;ESPORTIVO;17,38;3;1;1;3;1;9,65
2033-02-01 00:00:00.000;ALAGOAS;NAO INFORMADO;GRANDE;ENTRETENIMENTO;5.209,24;13;3;2;4,33;1,5;428,63
2033-02-01 00:00:00.000;ALAGOAS;NAO INFORMADO;GRANDE;NÃO CLASSIFICADO;239,16;4;1;1;4;1;54,72
2033-02-01 00:00:00.000;ALAGOAS;NAO INFORMADO;PEQUENO;ENTRETENIMENTO;1.977,43;69;28;20;2,46;1,4;38,87
2033-02-01 00:00:00.000;ALAGOAS;PESQUISA ORGANICA;GRANDE;ENTRETENIMENTO;45.300,17;157;3;2;52,33;1,5;263,36
2033-02-01 00:00:00.000;ALAGOAS;PESQUISA ORGANICA;GRANDE;NÃO CLASSIFICADO;3.276,76;94;1;1;94;1;36,35
2033-02-01 00:00:00.000;ALAGOAS;PESQUISA ORGANICA;PEQUENO;CORPORATIVO;3.121,24;41;8;6;5,12;1,33;56,89
2033-02-01 00:00:00.000;ALAGOAS;PESQUISA ORGANICA;PEQUENO;ENTRETENIMENTO;25.678,69;952;48;30;19,83;1,6;26,45
2033-02-01 00:00:00.000;ALAGOAS;PESQUISA ORGANICA;PEQUENO;ESPORTIVO;47,19;9;1;1;9;1;6,48
2033-02-01 00:00:00.000;ALAGOAS;PESQUISA ORGANICA;PEQUENO;OUTROS;493,98;2;1;1;2;1;295,67
2033-02-01 00:00:00.000;AMAPÁ;DIRETO;PEQUENO;CORPORATIVO;56,98;3;2;2;1,5;1;82,5
2033-02-01 00:00:00.000;AMAPÁ;DIRETO;PEQUENO;ENTRETENIMENTO;1.689,43;42;1;1;42;1;34,88
2033-02-01 00:00:00.000;AMAPÁ;MIDIA PAGA;PEQUENO;CORPORATIVO;622,22;12;2;2;6;1;91,81
2033-02-01 00:00:00.000;AMAPÁ;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;3.341,13;90;1;1;90;1;34,8
2033-02-01 00:00:00.000;AMAPÁ;MIDIA SOCIAL;PEQUENO;CORPORATIVO;548,64;3;1;1;3;1;150,75
2033-02-01 00:00:00.000;AMAPÁ;MIDIA SOCIAL;PEQUENO;ENTRETENIMENTO;1.225,62;35;1;1;35;1;35,2
2033-02-01 00:00:00.000;AMAPÁ;NAO INFORMADO;PEQUENO;CORPORATIVO;3,59;1;1;1;1;1;50,54
2033-02-01 00:00:00.000;AMAPÁ;NAO INFORMADO;PEQUENO;ENTRETENIMENTO;93,5;3;1;1;3;1;35,91
2033-02-01 00:00:00.000;AMAPÁ;PESQUISA ORGANICA;PEQUENO;CORPORATIVO;175,97;5;2;2;2,5;1;133,58
2033-02-01 00:00:00.000;AMAPÁ;PESQUISA ORGANICA;PEQUENO;ENTRETENIMENTO;2.002,24;60;1;1;60;1;36,82
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;GRANDE;ENTRETENIMENTO;3.015,24;90;8;1;11,25;8;32,32
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;GRANDE;NÃO CLASSIFICADO;49,63;1;1;1;1;1;38,16
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;GRANDE;OUTROS;1.613,11;34;2;2;17;1;41,16
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;PEQUENO;CASAS-FIXAS;34,45;1;1;1;1;1;59,47
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;PEQUENO;CORPORATIVO;1.964,72;49;16;13;3,06;1,23;28,15
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;PEQUENO;ENTRETENIMENTO;19.094,05;788;46;35;17,13;1,31;26,09
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;PEQUENO;NÃO CLASSIFICADO;104,55;1;1;1;1;1;152,18
2033-02-01 00:00:00.000;AMAZONAS;DIRETO;PEQUENO;OUTROS;218,49;4;2;2;2;1;26,31
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;GRANDE;CORPORATIVO;966,09;2;1;1;2;1;743,52
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;GRANDE;ENTRETENIMENTO;5.499,6;219;10;1;21,9;10;30,97
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;GRANDE;OUTROS;2.854,49;64;2;2;32;1;43,6
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;PEQUENO;CASAS-FIXAS;416,24;5;1;1;5;1;41,36
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;PEQUENO;CORPORATIVO;2.620,23;95;19;16;5;1,19;30,55
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;45.957,99;1.813;48;37;37,77;1,3;25,2
2033-02-01 00:00:00.000;AMAZONAS;MIDIA PAGA;PEQUENO;OUTROS;1.518,4;16;3;3;5,33;1;63,66
2033-02-01 00:00:00.000;AMAZONAS;MIDIA SOCIAL;GRANDE;ENTRETENIMENTO;2.386,16;79;9;1;8,78;9;33,17
2033-02-01 00:00:00.000;AMAZONAS;MIDIA SOCIAL;GRANDE;OUTROS;1.434,55;31;2;2;15,5;1;46,09
2033-02-01 00:00:00.000;AMAZONAS;MIDIA SOCIAL;PEQUENO;CASAS-FIXAS;134,49;1;1;1;1;1;56,05
2033-02-01 00:00:00.000;AMAZONAS;MIDIA SOCIAL;PEQUENO;CORPORATIVO;1.583,67;38;16;13;2,38;1,23;39,08
2033-02-01 00:00:00.000;AMAZONAS;MIDIA SOCIAL;PEQUENO;ENTRETENIMENTO;22.220,68;855;42;34;20,36;1,24;26,94
2033-02-01 00:00:00.000;AMAZONAS;MIDIA SOCIAL;PEQUENO;OUTROS;513,67;9;4;4;2,25;1;59,53
2033-02-01 00:00:00.000;AMAZONAS;NAO INFORMADO;GRANDE;ENTRETENIMENTO;197,98;9;4;1;2,25;4;25,73
2033-02-01 00:00:00.000;AMAZONAS;NAO INFORMADO;GRANDE;NÃO CLASSIFICADO;46,96;1;1;1;1;1;77,49
2033-02-01 00:00:00.000;AMAZONAS;NAO INFORMADO;GRANDE;OUTROS;351,84;6;2;2;3;1;50,2
2033-02-01 00:00:00.000;AMAZONAS;NAO INFORMADO;PEQUENO;CORPORATIVO;100,23;7;6;5;1,17;1,2;15,75
2033-02-01 00:00:00.000;AMAZONAS;NAO INFORMADO;PEQUENO;ENTRETENIMENTO;1.973,45;90;22;19;4,09;1,16;20,92
2033-02-01 00:00:00.000;AMAZONAS;PESQUISA ORGANICA;GRANDE;ENTRETENIMENTO;5.047,88;156;9;1;17,33;9;29,46
2033-02-01 00:00:00.000;AMAZONAS;PESQUISA ORGANICA;GRANDE;NÃO CLASSIFICADO;11,72;1;1;1;1;1;41,58
2033-02-01 00:00:00.000;AMAZONAS;PESQUISA ORGANICA;GRANDE;OUTROS;1.583,71;44;2;2;22;1;46,2
2033-02-01 00:00:00.000;AMAZONAS;PESQUISA ORGANICA;PEQUENO;CORPORATIVO;1.439,19;62;18;15;3,44;1,2;21,98
2033-02-01 00:00:00.000;AMAZONAS;PESQUISA ORGANICA;PEQUENO;ENTRETENIMENTO;31.866,13;1.240;43;35;28,84;1,23;25,49
2033-02-01 00:00:00.000;AMAZONAS;PESQUISA ORGANICA;PEQUENO;OUTROS;313,54;8;2;2;4;1;18,13
2033-02-01 00:00:00.000;BAHIA;DIRETO;GRANDE;CASAS-FIXAS;41.734,39;1.304;27;10;48,3;2,7;32,45
2033-02-01 00:00:00.000;BAHIA;DIRETO;GRANDE;ENTRETENIMENTO;67.366,81;1.039;26;10;39,96;2,6;63,86
2033-02-01 00:00:00.000;BAHIA;DIRETO;GRANDE;NÃO CLASSIFICADO;13.769,46;243;4;3;60,75;1,33;61,16
2033-02-01 00:00:00.000;BAHIA;DIRETO;GRANDE;OUTROS;266,43;1;1;1;1;1;246,67
2033-02-01 00:00:00.000;BAHIA;DIRETO;PEQUENO;CASAS-FIXAS;3.419,77;565;20;11;28,25;1,82;6,18
2033-02-01 00:00:00.000;BAHIA;DIRETO;PEQUENO;CORPORATIVO;7.975,91;167;39;34;4,28;1,15;50,99
2033-02-01 00:00:00.000;BAHIA;DIRETO;PEQUENO;ENTRETENIMENTO;98.930,75;2.251;174;132;12,94;1,32;43,1
2033-02-01 00:00:00.000;BAHIA;DIRETO;PEQUENO;ESPORTIVO;176,91;52;7;6;7,43;1,17;6,99
2033-02-01 00:00:00.000;BAHIA;DIRETO;PEQUENO;NÃO CLASSIFICADO;52,31;4;2;2;2;1;11,5
2033-02-01 00:00:00.000;BAHIA;DIRETO;PEQUENO;OUTROS;2.976,8;122;20;10;6,1;2;26,81
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;GRANDE;CASAS-FIXAS;91.846,11;3.122;29;10;107,66;2,9;28,4
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;GRANDE;ENTRETENIMENTO;150.858,16;2.308;28;10;82,43;2,8;66,18
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;GRANDE;NÃO CLASSIFICADO;35.580,57;581;7;3;83;2,33;59,02
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;GRANDE;OUTROS;1.292,53;7;2;1;3,5;2;120,45
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;PEQUENO;CASAS-FIXAS;2.505;1.421;22;13;64,59;1,69;2,09
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;PEQUENO;CORPORATIVO;17.182,2;390;55;44;7,09;1,25;52,68
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;232.169,83;5.239;198;148;26,46;1,34;44,8
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;PEQUENO;ESPORTIVO;3.187,16;120;19;12;6,32;1,58;41,96
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;PEQUENO;NÃO CLASSIFICADO;966,74;17;3;3;5,67;1;82,2
2033-02-01 00:00:00.000;BAHIA;MIDIA PAGA;PEQUENO;OUTROS;7.866,96;292;24;14;12,17;1,71;24,38
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;GRANDE;CASAS-FIXAS;39.855,36;1.261;29;10;43,48;2,9;29,07
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;GRANDE;ENTRETENIMENTO;70.973,6;1.033;26;10;39,73;2,6;68,07
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;GRANDE;NÃO CLASSIFICADO;13.653,09;214;6;3;35,67;2;62,74
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;GRANDE;OUTROS;379,03;3;2;1;1,5;2;129,89
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;PEQUENO;CASAS-FIXAS;2.022,13;557;19;11;29,32;1,73;2,52
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;PEQUENO;CORPORATIVO;7.478,63;162;35;32;4,63;1,09;45,75
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;PEQUENO;ENTRETENIMENTO;101.451,96;2.224;168;126;13,24;1,33;45,3
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;PEQUENO;ESPORTIVO;621,03;39;9;7;4,33;1,29;13,09
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;PEQUENO;NÃO CLASSIFICADO;214,49;5;3;3;1,67;1;87,47
2033-02-01 00:00:00.000;BAHIA;MIDIA SOCIAL;PEQUENO;OUTROS;3.716,22;125;22;12;5,68;1,83;28,96
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;GRANDE;CASAS-FIXAS;3.816,78;155;20;9;7,75;2,22;27,05
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;GRANDE;ENTRETENIMENTO;5.891,13;95;17;9;5,59;1,89;50,27
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;GRANDE;NÃO CLASSIFICADO;1.541,25;25;5;3;5;1,67;59,87
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;PEQUENO;CASAS-FIXAS;132,81;76;13;7;5,85;1,86;3,4
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;PEQUENO;CORPORATIVO;790,68;16;9;9;1,78;1;51,69
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;PEQUENO;ENTRETENIMENTO;10.110,5;234;76;65;3,08;1,17;42,17
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;PEQUENO;ESPORTIVO;29,49;4;3;3;1,33;1;9,98
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;PEQUENO;NÃO CLASSIFICADO;9,9;1;1;1;1;1;4,83
2033-02-01 00:00:00.000;BAHIA;NAO INFORMADO;PEQUENO;OUTROS;266,56;13;8;4;1,62;2;21
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;GRANDE;CASAS-FIXAS;61.277,08;2.098;29;10;72,34;2,9;29,06
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;GRANDE;ENTRETENIMENTO;112.334,34;1.627;28;11;58,11;2,55;72,21
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;GRANDE;NÃO CLASSIFICADO;23.036,13;375;5;3;75;1,67;61,7
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;GRANDE;OUTROS;992,92;7;2;1;3,5;2;100,87
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;PEQUENO;CASAS-FIXAS;649,82;958;20;11;47,9;1,82;1,2
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;PEQUENO;CORPORATIVO;17.501,4;307;43;39;7,14;1,1;61,09
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;PEQUENO;ENTRETENIMENTO;162.557,47;3.517;184;138;19,11;1,33;45,74
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;PEQUENO;ESPORTIVO;840,11;87;12;8;7,25;1,5;10,38
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;PEQUENO;NÃO CLASSIFICADO;35,3;3;2;2;1,5;1;14,13
2033-02-01 00:00:00.000;BAHIA;PESQUISA ORGANICA;PEQUENO;OUTROS;5.808,02;169;22;12;7,68;1,83;33,81
2033-02-01 00:00:00.000;CEARÁ;DIRETO;GRANDE;CASAS-FIXAS;10.887,6;304;8;1;38;8;34,17
2033-02-01 00:00:00.000;CEARÁ;DIRETO;GRANDE;CORPORATIVO;339,69;7;1;1;7;1;27,51
2033-02-01 00:00:00.000;CEARÁ;DIRETO;GRANDE;ENTRETENIMENTO;5.460,26;149;5;3;29,8;1,67;39,93
2033-02-01 00:00:00.000;CEARÁ;DIRETO;PEQUENO;CASAS-FIXAS;2.495,67;231;13;3;17,77;4,33;11,67
2033-02-01 00:00:00.000;CEARÁ;DIRETO;PEQUENO;CORPORATIVO;8.203,37;140;30;27;4,67;1,11;65,34
2033-02-01 00:00:00.000;CEARÁ;DIRETO;PEQUENO;ENTRETENIMENTO;38.859,23;1.761;100;37;17,61;2,7;21,95
2033-02-01 00:00:00.000;CEARÁ;DIRETO;PEQUENO;ESPORTIVO;3.696,79;18;5;2;3,6;2,5;199,22
2033-02-01 00:00:00.000;CEARÁ;DIRETO;PEQUENO;NÃO CLASSIFICADO;329,25;2;1;1;2;1;198,9
2033-02-01 00:00:00.000;CEARÁ;DIRETO;PEQUENO;OUTROS;1.012,79;21;4;4;5,25;1;51,89
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;GRANDE;CASAS-FIXAS;23.751;722;9;1;80,22;9;35,32
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;GRANDE;CORPORATIVO;992,44;20;1;1;20;1;51,84
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;GRANDE;ENTRETENIMENTO;10.912,24;326;5;3;65,2;1,67;35,37
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;PEQUENO;CASAS-FIXAS;6.481,72;539;15;3;35,93;5;12,22
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;PEQUENO;CORPORATIVO;13.410,48;297;37;32;8,03;1,16;44,16
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;82.082,96;3.895;103;39;37,82;2,64;21,46
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;PEQUENO;ESPORTIVO;4.318,36;34;5;1;6,8;5;169,48
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;PEQUENO;NÃO CLASSIFICADO;673,97;2;1;1;2;1;273,34
2033-02-01 00:00:00.000;CEARÁ;MIDIA PAGA;PEQUENO;OUTROS;3.071,91;52;5;5;10,4;1;65,21
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;GRANDE;CASAS-FIXAS;9.454,86;288;8;1;36;8;29,98
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;GRANDE;CORPORATIVO;195,35;6;1;1;6;1;22,73
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;GRANDE;ENTRETENIMENTO;5.119,53;137;5;3;27,4;1,67;33,17
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;PEQUENO;CASAS-FIXAS;2.621,15;216;14;3;15,43;4,67;10,69
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;PEQUENO;CORPORATIVO;6.504,5;133;27;24;4,93;1,12;47,54
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;PEQUENO;ENTRETENIMENTO;35.024,25;1.751;92;35;19,03;2,63;20,74
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;PEQUENO;ESPORTIVO;2.676,27;19;4;3;4,75;1,33;197,38
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;PEQUENO;NÃO CLASSIFICADO;99,77;1;1;1;1;1;109,63
2033-02-01 00:00:00.000;CEARÁ;MIDIA SOCIAL;PEQUENO;OUTROS;1.584,28;21;4;4;5,25;1;62,48
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;GRANDE;CASAS-FIXAS;991,65;35;6;1;5,83;6;34,73
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;GRANDE;ENTRETENIMENTO;1.020,98;24;5;3;4,8;1,67;31,83
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;PEQUENO;CASAS-FIXAS;343,57;22;9;3;2,44;3;17,28
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;PEQUENO;CORPORATIVO;531,4;8;8;8;1;1;75,7
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;PEQUENO;ENTRETENIMENTO;4.580,93;202;56;24;3,61;2,33;25,23
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;PEQUENO;ESPORTIVO;1.479,2;5;1;1;5;1;157,7
2033-02-01 00:00:00.000;CEARÁ;NAO INFORMADO;PEQUENO;OUTROS;244,04;2;2;2;1;1;164,73
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;GRANDE;CASAS-FIXAS;18.001,03;515;9;1;57,22;9;35,3
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;GRANDE;CORPORATIVO;1.016,67;15;1;1;15;1;65,55
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;GRANDE;ENTRETENIMENTO;7.597,26;217;5;3;43,4;1,67;36,55
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;PEQUENO;CASAS-FIXAS;3.727,76;362;15;3;24,13;5;12,06
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;PEQUENO;CORPORATIVO;8.971,39;192;34;31;5,65;1,1;47,36
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;PEQUENO;ENTRETENIMENTO;61.154,87;2.805;104;39;26,97;2,67;21,94
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;PEQUENO;ESPORTIVO;3.781,05;30;4;2;7,5;2;134,69
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;PEQUENO;NÃO CLASSIFICADO;344,28;2;1;1;2;1;92,63
2033-02-01 00:00:00.000;CEARÁ;PESQUISA ORGANICA;PEQUENO;OUTROS;2.281,46;30;4;4;7,5;1;45,04
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;GRANDE;CASAS-FIXAS;123.627,66;4.153;4;3;1.038,25;1,33;29,87
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;GRANDE;CORPORATIVO;4.592,08;384;7;2;54,86;3,5;11,21
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;GRANDE;ENTRETENIMENTO;35.324,38;976;42;7;23,24;6;36,25
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;GRANDE;NÃO CLASSIFICADO;3.107,07;57;1;1;57;1;51,96
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;PEQUENO;CASAS-FIXAS;10.277,76;503;7;5;71,86;1,4;22,5
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;PEQUENO;CORPORATIVO;26.114,53;198;61;54;3,25;1,13;117,6
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;PEQUENO;ENTRETENIMENTO;72.286,45;3.937;269;141;14,64;1,91;18,58
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;PEQUENO;NÃO CLASSIFICADO;375,93;2;2;2;1;1;81,6
2033-02-01 00:00:00.000;DISTRITO FEDERAL;DIRETO;PEQUENO;OUTROS;2.563,55;67;10;8;6,7;1,25;39,16
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;GRANDE;CASAS-FIXAS;276.313,39;9.252;4;3;2.313;1,33;29,94
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;GRANDE;CORPORATIVO;9.770,29;834;9;2;92,67;4,5;11,82
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;GRANDE;ENTRETENIMENTO;78.400,34;2.238;47;7;47,62;6,71;36,26
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;GRANDE;NÃO CLASSIFICADO;7.628,5;146;1;1;146;1;54,02
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;PEQUENO;CASAS-FIXAS;22.506,74;1.106;7;5;158;1,4;22,48
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;PEQUENO;CORPORATIVO;49.320,85;398;75;65;5,31;1,15;124,96
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;PEQUENO;ENTRETENIMENTO;163.370,28;8.855;314;156;28,2;2,01;18,43
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;PEQUENO;NÃO CLASSIFICADO;1.522,25;5;3;3;1,67;1;406,92
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA PAGA;PEQUENO;OUTROS;8.825,3;173;15;13;11,53;1,15;56,37
2033-02-01 00:00:00.000;DISTRITO FEDERAL;MIDIA SOCIAL;GRANDE;CASAS-FIXAS;122.350,9;4.110;4;3;1.027,5;1,33;29,53
